Circonscription,B.P.,C.A.Q.-É.F.L.,C.C.,É.A.,O.N.,P.C.M.Q.,P.CO.Q.,P.Éq.,P.I.,P.L.Q./Q.L.P.,P.M.L.Q.,P.N.,P.Q.,P.U.N.,P.V.Q./G.P.Q.,Q.R.D.,Q.S.,U.C.Q./Q.C.U.,IND1,IND2,
TROIS-RIVIÈRES,,Andrew D'Amours,,Kathie Mc Nicoll,Charles-Hugo Normand,,,,,Danielle St-Amand,,,Djemila Benhabib,,,,Jean-Claude Landry,,Robert Deschamps,,
UNGAVA,,Stéphane Robichaud,,,Dominic Hamelin-Johnston,,,,,Gérald Lemoyne,,,Luc Ferland,,,,Sylvain Couture,,,,
VACHON,,Jean-François Roberge,Marc Joseph,,Sylvain Gauthier,,,,,Linda Langlois Saulnier,,,Martine Ouellet,,Pierre-André Beauchemin,,Sébastien Robert,,,,
VANIER-LES RIVIÈRES,,Sylvain Lévesque,,Jean-François Morency,Mathieu Fillion,,Daniel Brisson,,,Patrick Huot,,,Marc Dean,,Jean Cloutier,,Monique Voisine,,Carl Côté,,
VAUDREUIL,,Martin Legault,,,Julien Bédard,,,,,Yvon Marcoux,,,Kim Comeau,,Julien Leclerc,,Marc-André Pilon,Étienne Ouellet,,,
VERCHÈRES,,Chantal Soucy,Mario Geoffrion,,Diane Massicotte,,,,,Maxime St-Onge,,,Stéphane Bergeron,,,,Marie-Thérèse Toutant,,Steven Terranova,,
VERDUN,,André Besner,,,Marc-Antoine Daneau,,,,,Henri-François Gautrin,Eileen Studd,,Thierry St-Cyr,,Jeffrey Mackie,,Chantale Michaud,Philippe Refghi,,,
VIAU,,Walid Hadid,,,Simon-Pierre Bélanger,,,,,Emmanuel Dubourg,,,Gabriel Arbieto Munayco,,Eric Perreault-Chamberland,,Geneviève Fortier-Moreau,,,,
VIMONT,,Christopher Skeete,,,Catherine Houbart,,Alain Robert,,,Jean Rousselle,,,Linda Tousignant,,,,David Lanneville,,Jean-Marc Boyer,,
WESTMOUNT-SAINT-LOUIS,,Johnny Kairouz,,,Benoît Guérin,,,,,Jacques Chagnon,,,Marc-André Bahl,,Lisa Julie Cahn,,Mélissa Desjardins,,,,Pierre JC Allard
